Date,8-day pd,EVI,LSWI
3/30/2017,12,0.202,-0.215
4/7/2017,13,0.224,-0.201
4/15/2017,14,0.327,-0.083
4/23/2017,15,0.424,0.025
5/1/2017,16,0.398,-0.003
5/9/2017,17,0.423,0.075
5/17/2017,18,0.481,0.097
5/25/2017,19,0.488,0.132
6/2/2017,20,0.426,0.071
6/10/2017,21,0.529,0.192
6/18/2017,22,0.53,0.192
6/26/2017,23,0.553,0.205
7/4/2017,24,0.555,0.211
7/12/2017,25,0.516,0.217
7/20/2017,26,0.468,0.139
7/28/2017,27,0.463,0.139
8/5/2017,28,0.519,0.2
8/13/2017,29,0.467,0.202
8/21/2017,30,0.485,0.196
8/29/2017,31,0.444,0.16
9/6/2017,32,0.463,0.193
9/14/2017,33,0.436,0.145
9/22/2017,34,0.318,0.057
9/30/2017,35,0.33,-0.001
10/8/2017,36,0.309,-0.005
10/16/2017,37,0.329,0.028
10/24/2017,38,0.279,-0.078
11/1/2017,39,0.333,-0.026
11/9/2017,40,0.199,-0.163
11/17/2017,41,0.177,-0.186
11/25/2017,42,0.175,-0.194
12/3/2017,43,0.176,-0.198
12/11/2017,44,0.186,-0.178
12/19/2017,45,0.199,-0.208
12/27/2017,46,0.179,-0.192
1/1/2018,1,0.223,-0.158
1/9/2018,2,0.167,-0.214
1/17/2018,3,0.165,-0.238
1/25/2018,4,0.176,-0.144
2/2/2018,5,0.161,-0.195
2/10/2018,6,0.04,-0.476
2/18/2018,7,0.092,-0.137
2/26/2018,8,0.087,-0.445
3/6/2018,9,0.11,-0.389
3/14/2018,10,0.099,-0.38
3/22/2018,11,0.155,-0.214
3/30/2018,12,0.171,-0.238
4/7/2018,13,0.218,-0.223
4/15/2018,14,0.203,-0.229
4/23/2018,15,0.296,-0.083
5/1/2018,16,0.467,0.157
5/9/2018,17,0.56,0.172
5/17/2018,18,0.526,0.174
5/25/2018,19,0.576,0.17
6/2/2018,20,0.476,0.132
6/10/2018,21,0.484,0.125
6/18/2018,22,0.408,0.109
6/26/2018,23,0.423,0.068
7/4/2018,24,0.518,0.162
7/12/2018,25,0.414,0.035
7/20/2018,26,0.335,-0.042
7/28/2018,27,0.357,0.007
8/5/2018,28,0.378,0.014
8/13/2018,29,0.416,0.086
8/21/2018,30,0.485,0.144
8/29/2018,31,0.541,0.211
9/6/2018,32,0.544,0.221
9/14/2018,33,0.479,0.182
9/22/2018,34,0.407,0.109
9/30/2018,35,0.478,0.067
10/8/2018,36,0.384,0.002
10/16/2018,37,0.402,0.062
10/24/2018,38,0.413,0.1
11/1/2018,39,0.267,-0.079
11/9/2018,40,0.237,-0.107
11/17/2018,41,0.368,0.079
11/25/2018,42,0.212,-0.13
12/3/2018,43,0.208,-0.101
12/11/2018,44,0.37,0.174
12/19/2018,45,0.214,-0.138
12/27/2018,46,0.269,-0.053
1/1/2019,1,0.21,-0.076
1/9/2019,2,0.226,-0.066
1/17/2019,3,0.305,-0.04
1/25/2019,4,0.173,-0.168
2/2/2019,5,0.199,0.231
2/10/2019,6,0.2,-0.166
2/18/2019,7,0.192,-0.069
2/26/2019,8,0.269,-0.086
3/6/2019,9,0.152,-0.191
3/14/2019,10,0.154,-0.215
3/22/2019,11,0.208,-0.195
3/30/2019,12,0.185,-0.158
4/7/2019,13,0.215,-0.171
4/15/2019,14,0.277,-0.109
4/23/2019,15,0.357,0.05
5/1/2019,16,0.425,0.173
5/9/2019,17,0.387,0.038
5/17/2019,18,0.493,0.274
5/25/2019,19,0.457,0.106
6/2/2019,20,0.475,0.184
6/10/2019,21,0.255,0.067
6/18/2019,22,0.504,0.242
6/26/2019,23,0.561,0.232
7/4/2019,24,0.617,0.245
7/12/2019,25,0.511,0.2
7/20/2019,26,0.514,0.172
7/28/2019,27,0.441,0.106
8/5/2019,28,0.473,0.134
8/13/2019,29,0.381,0.011
8/21/2019,30,0.439,0.065
8/29/2019,31,0.435,0.039
9/6/2019,32,0.384,0.05
9/14/2019,33,0.407,0.044
9/22/2019,34,0.363,0.009
9/30/2019,35,0.384,0.042
10/8/2019,36,0.375,0.017
10/16/2019,37,0.271,-0.077
10/24/2019,38,0.229,-0.127
11/1/2019,39,0.265,-0.079
11/9/2019,40,0.196,-0.156
11/17/2019,41,0.194,-0.164
11/25/2019,42,0.248,-0.051
12/3/2019,43,0.155,-0.229
12/11/2019,44,0.158,-0.203
12/19/2019,45,0.171,-0.227
12/27/2019,46,0.146,-0.239
1/1/2020,1,0.151,-0.241
1/9/2020,2,0.147,-0.23
1/17/2020,3,0.132,-0.288
1/25/2020,4,0.138,-0.269
2/2/2020,5,0.141,-0.251
2/10/2020,6,0.141,-0.278
2/18/2020,7,0.169,-0.226
2/26/2020,8,0.137,-0.286
3/5/2020,9,0.151,-0.262
3/13/2020,10,0.175,-0.197
3/21/2020,11,0.293,-0.089
3/29/2020,12,0.248,-0.09
4/6/2020,13,0.465,0.071
4/14/2020,14,0.295,-0.076
4/22/2020,15,0.312,-0.085
4/30/2020,16,0.31,-0.099
5/8/2020,17,0.395,0.06
5/16/2020,18,0.391,0.059
5/24/2020,19,0.507,0.138
6/1/2020,20,0.529,0.197
6/9/2020,21,0.472,0.112
6/17/2020,22,0.504,0.152
6/25/2020,23,0.548,0.196
7/3/2020,24,0.516,0.154
7/11/2020,25,0.493,0.149
7/19/2020,26,0.54,0.138
7/27/2020,27,0.499,0.191
8/4/2020,28,0.536,0.14
8/12/2020,29,0.519,0.171
8/20/2020,30,0.436,0.094
8/28/2020,31,0.439,0.137
9/5/2020,32,0.424,0.035
9/13/2020,33,0.358,0.086
9/21/2020,34,0.383,0.073
9/29/2020,35,0.368,0.032
10/7/2020,36,0.341,-0.005
10/15/2020,37,0.307,-0.033
10/23/2020,38,0.378,0.132
10/31/2020,39,0.331,0.011
11/8/2020,40,0.21,-0.154
11/16/2020,41,0.208,-0.126
11/24/2020,42,0.369,0.042
12/2/2020,43,0.255,-0.102
12/10/2020,44,0.192,-0.141
12/18/2020,45,0.18,-0.187
12/26/2020,46,0.206,-0.15
1/1/2021,1,0.167,-0.012
1/9/2021,2,0.27,-0.013
1/17/2021,3,0.2,-0.143
1/25/2021,4,0.247,-0.072
2/2/2021,5,0.176,-0.177
2/10/2021,6,0.117,0.562
2/18/2021,7,0.15,-0.206
2/26/2021,8,0.175,-0.209
3/6/2021,9,0.161,-0.218
3/14/2021,10,0.168,-0.21
3/22/2021,11,0.166,-0.214
3/30/2021,12,0.189,-0.171
4/7/2021,13,0.2,-0.163
4/15/2021,14,0.191,-0.194
4/23/2021,15,0.23,-0.13
5/1/2021,16,0.288,-0.108
5/9/2021,17,0.288,-0.015
5/17/2021,18,0.407,0.106
5/25/2021,19,0.482,0.143
6/2/2021,20,0.528,0.237
6/10/2021,21,0.536,0.196
6/18/2021,22,0.586,0.23
6/26/2021,23,0.624,0.152
7/4/2021,24,0.565,0.244
7/12/2021,25,0.531,0.139
7/20/2021,26,0.487,0.165
7/28/2021,27,0.46,0.059
8/5/2021,28,0.46,0.102
8/13/2021,29,0.481,0.102
8/21/2021,30,0.52,0.157
8/29/2021,31,0.416,0.089
9/6/2021,32,0.38,0.056
9/14/2021,33,0.405,0.081
9/22/2021,34,0.327,0.016
9/30/2021,35,0.289,-0.043
10/8/2021,36,0.351,0.022
10/16/2021,37,0.284,-0.075
10/24/2021,38,0.27,-0.089
11/1/2021,39,0.316,-0.004
11/9/2021,40,0.289,-0.025
11/17/2021,41,0.253,-0.074
11/25/2021,42,0.208,-0.137
12/3/2021,43,0.219,-0.1
12/11/2021,44,0.363,0.064
12/19/2021,45,0.212,-0.11
12/27/2021,46,0.304,0.037
1/1/2022,1,0.215,-0.107
1/9/2022,2,0.186,-0.147
1/17/2022,3,0.300,-0.035
1/25/2022,4,0.206,-0.123
2/2/2022,5,,
2/10/2022,6,0.244,-0.072
2/18/2022,7,0.184,-0.114
2/26/2022,8,0.191,-0.131
3/6/2022,9,0.186,-0.112
3/14/2022,10,0.188,-0.102
3/22/2022,11,,
3/30/2022,12,0.219,-0.097
4/7/2022,13,0.178,-0.133
4/15/2022,14,0.195,-0.111
4/23/2022,15,0.248,-0.093
5/1/2022,16,0.306,-0.053
5/9/2022,17,0.372,-0.012
5/17/2022,18,0.432,0.076
5/25/2022,19,0.453,0.149
6/2/2022,20,0.457,0.211
6/10/2022,21,0.461,0.167
6/18/2022,22,0.484,0.112
6/26/2022,23,0.524,0.160
7/4/2022,24,0.484,0.157
7/12/2022,25,0.435,0.081
7/20/2022,26,0.334,-0.010
7/28/2022,27,0.358,-0.003
8/5/2022,28,0.313,0.021
8/13/2022,29,0.284,-0.039
8/21/2022,30,0.274,-0.051
8/29/2022,31,0.275,-0.087
9/6/2022,32,0.284,-0.077
9/14/2022,33,0.225,-0.145
9/22/2022,34,0.250,-0.118
9/30/2022,35,0.207,-0.144
10/8/2022,36,,
10/16/2022,37,,
10/24/2022,38,0.165,-0.222
11/1/2022,39,0.154,-0.199
11/9/2022,40,,
11/17/2022,41,0.156,-0.229
11/25/2022,42,,
12/3/2022,43,,
12/11/2022,44,0.113,-0.274
12/19/2022,45,0.117,-0.302
12/27/2022,46,0.118,-0.320
1/1/2023,1,0.119,-0.290
1/9/2023,2,0.129,-0.289
1/17/2023,3,0.126,-0.276
1/25/2023,4,0.146,-0.265
2/2/2023,5,,
2/10/2023,6,0.137,-0.286
2/18/2023,7,0.138,-0.273
2/26/2023,8,0.168,-0.231
3/6/2023,9,,
3/14/2023,10,0.310,-0.031
3/22/2023,11,,
3/30/2023,12,0.179,-0.227
4/7/2023,13,0.225,-0.161
4/15/2023,14,0.237,-0.145
4/23/2023,15,0.259,-0.139
5/1/2023,16,0.316,-0.066
5/9/2023,17,,
5/17/2023,18,0.436,0.104
5/25/2023,19,,
6/2/2023,20,0.490,0.164
6/10/2023,21,0.501,0.152
6/18/2023,22,0.460,0.109
6/26/2023,23,0.499,0.180
7/4/2023,24,0.511,0.145
7/12/2023,25,0.507,0.238
7/20/2023,26,0.551,0.238
7/28/2023,27,0.544,0.191
8/5/2023,28,0.548,0.247
8/13/2023,29,0.463,0.153
8/21/2023,30,0.425,0.145
8/29/2023,31,0.435,0.134
9/6/2023,32,0.389,0.071
9/14/2023,33,0.379,0.084
9/22/2023,34,0.446,0.163
9/30/2023,35,0.426,0.125
10/8/2023,36,0.401,0.105
10/16/2023,37,0.399,0.131
10/24/2023,38,,
